데이터플랫폼 공통지표,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
구분,순서,지표명,정의,계산식,데이터 출처,합의 필요사항,,,,
미납,80,미납회원 감소율(%),월초미납명수 대비 월말미납명수 감소비중,(월초미납명수-월말미납명수)/월초미납명수,,,,,,
미납,81,미납서비스 전환율(%),미납서비스 대상회원의 전환비중,납입회원(명)/미납서비스 클릭회원(명)*100,,*미납서비스 클릭회원명수는 GA값으로 가져와야함,,,,
미납,82,미납사유,매월 정기회원의 회비미납 시 사유,crm>회원요약정보>회비내역>미납/환급정보>미납내역,,*캠페인별 미납사유는 볼수없음,,,,
미납,83,캠페인별 미납(건),캠페인별 미납 건수,"캠페인별 미납회비금액/10,000원",,,,,,
미납,84,회원상태별 미납(건),회원상태(미납1~미납5)별 미납 건수,"회원상태별 미납회비금액/10,000원",,,,,,
서비스,85,발송수(명),발송수(명),회원번호 개수 기준(중복을 포함한),,,,,,
서비스,86,성공수(명),성공수(명),회원번호 개수 기준(중복을 포함한),,,,,,
서비스,87,실패수(명),실패수(명),회원번호 개수 기준(중복을 포함한),,,,,,
서비스,88,서신참여(명),서신참여(명),회원번호 개수 기준(중복을 포함한),,,,,,
서비스,89,서신참여(건),서신참여(건),,,,,,,
서비스,90,선물금참여(명),선물금참여(명),회원번호 개수 기준(중복을 포함한),,,,,,
서비스,91,선물금참여(원),선물금참여(원),,,,,,,
서비스,92,방문수(명),GA 방문수,,,,,,,
서비스,93,활성사용자수(명),GA 활성사용자수,,,,,,,
서비스,94,총사용자(명),GA 총사용자수,,,,,,,
서비스,95,이벤트수(명),GA 이벤트수,,,,,,,
서비스,96,조회수(명),GA 조회수,,,,,,,
서비스,97,세션수(명),GA 세션수,,,,,,,
서비스,98,평균세션시간,GA 평균세션시간,,,,,,,
서비스,99,event_category,GA event_category,member_id가 (not set)이 아닌 데이터,,,,,,
서비스,100,event_label,GA event_label,"후원b1, 후원b2, 1단_대문, 퀵버튼 등등 ",,,,,,
서비스,101,event_action,GA event_action,member_id가 (not set)이 아닌 데이터,,,,,,
