부서명,부서코드,부서 경로
방화2종합사회복지관(사복),E000009,국내(사복) > 서인권역본부(사복) > 서울중남지부(사복) > 방화2종합사회복지관(사복)
보성어린이집(사복),E000010,국내(사복) > 서인권역본부(사복) > 서울중남지부(사복) > 보성어린이집(사복)
인천북부지부(사복),D000036,국내(사복) > 서인권역본부(사복) > 인천북부지부(사복)
인천북부아동보호전문기관(사복),E000015,국내(사복) > 서인권역본부(사복) > 인천북부지부(사복) > 인천북부아동보호전문기관(사복)
서울관악지부(사복),D000069,국내(사복) > 서인권역본부(사복) > 서울관악지부(사복)
관악구아동보호전문기관(사복),F001077,국내(사복) > 서인권역본부(사복) > 서울관악지부(사복) > 관악구아동보호전문기관(사복)
경원권역본부(사복),D001020,국내(사복) > 경원권역본부(사복)
경기남부지부(사복),D000040,국내(사복) > 경원권역본부(사복) > 경기남부지부(사복)
경기도거점아동보호전문기관(사복),E000021,국내(사복) > 경원권역본부(사복) > 경기남부지부(사복) > 경기도거점아동보호전문기관(사복)
경기화성지부(사복),D000042,국내(사복) > 경원권역본부(사복) > 경기화성지부(사복)
화성시아동보호전문기관(사복),E000027,국내(사복) > 경원권역본부(사복) > 경기화성지부(사복) > 화성시아동보호전문기관(사복)
경기시흥지부(사복),D000044,국내(사복) > 경원권역본부(사복) > 경기시흥지부(사복)
시흥아동보호전문기관(사복),E000031,국내(사복) > 경원권역본부(사복) > 경기시흥지부(사복) > 시흥아동보호전문기관(사복)
강원서부지부(사복),D000050,국내(사복) > 경원권역본부(사복) > 강원서부지부(사복)
강원서부아동보호전문기관(사복),E000040,국내(사복) > 경원권역본부(사복) > 강원서부지부(사복) > 강원서부아동보호전문기관(사복)
강원남부지부(사복),D000151,국내(사복) > 경원권역본부(사복) > 강원남부지부(사복)
강원남부아동보호전문기관(사복),E00042,국내(사복) > 경원권역본부(사복) > 강원남부지부(사복) > 강원남부아동보호전문기관(사복)
경기수원지부(사복),E000120,국내(사복) > 경원권역본부(사복) > 경기수원지부(사복)
수원아동보호전문기관(사복),E000122,국내(사복) > 경원권역본부(사복) > 경기수원지부(사복) > 수원아동보호전문기관(사복)
강원중부지부(사복),E001126,국내(사복) > 경원권역본부(사복) > 강원중부지부(사복)
강원중부아동보호전문기관(사복),F001043,국내(사복) > 경원권역본부(사복) > 강원중부지부(사복) > 강원중부아동보호전문기관(사복)
경기군포지부(사복),E001154,국내(사복) > 경원권역본부(사복) > 경기군포지부(사복)
군포시아동보호전문기관(사복),F001038,국내(사복) > 경원권역본부(사복) > 경기군포지부(사복) > 군포시아동보호전문기관(사복)
경기의왕지부(사복),E001155,국내(사복) > 경원권역본부(사복) > 경기의왕지부(사복)
의왕시아동보호전문기관(사복),F001040,국내(사복) > 경원권역본부(사복) > 경기의왕지부(사복) > 의왕시아동보호전문기관(사복)
경기중남지부(사복),E001156,국내(사복) > 경원권역본부(사복) > 경기중남지부(사복)
평택좋은이웃지역아동센터(사복),E000030,국내(사복) > 경원권역본부(사복) > 경기중남지부(사복) > 평택좋은이웃지역아동센터(사복)
오산시아동보호전문기관(사복),F001007,국내(사복) > 경원권역본부(사복) > 경기중남지부(사복) > 오산시아동보호전문기관(사복)
강원지부(사복),E001157,국내(사복) > 경원권역본부(사복) > 강원지부(사복)
강원아동복지센터(사복),E000039,국내(사복) > 경원권역본부(사복) > 강원지부(사복) > 강원아동복지센터(사복)
경기지부(사복),E001193,국내(사복) > 경원권역본부(사복) > 경기지부(사복)
아주좋은이웃심리치유센터(사복),E000023,국내(사복) > 경원권역본부(사복) > 경기지부(사복) > 아주좋은이웃심리치유센터(사복)
충청권역본부(사복),D001022,국내(사복) > 충청권역본부(사복)
충북지부(사복),D000053,국내(사복) > 충청권역본부(사복) > 충북지부(사복)
충청북도아동보호전문기관(사복),E000045,국내(사복) > 충청권역본부(사복) > 충북지부(사복) > 충청북도아동보호전문기관(사복)
